board_name,board_website,board_phone,board_email,agency_affiliation,agency_url,picture_url,bio,city,name,term_end,position,party
Public Utilities Commission,http://puc.sd.gov/,605-773-3201,PUC@state.sd.us,Public Utilities Commission,http://puc.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/Fiegen2022.jpg,"Kristie Fiegen was appointed to the PUC by Gov. Dennis Daugaard on Aug. 9, 2011, to fill a vacancy on the commission. Kristie was then elected to the commission in November 2012 and re-elected in November 2018. She has served as chairperson of the PUC in 2017, 2018 and 2023 and vice chairperson in 2012, 2015, 2016, 2021 and 2022. She is a member of the National Association of Regulatory Utility Commissioners’ Committee on Gas and Subcommittee on Pipeline Safety and holds leadership positions in the Southwest Power Pool regional transmission organization. Kristie provides guidance related to the interests of the public and gas consumers to the Gas Technology Institute as a member of GTI’s Public Interest Advisory Committee.",,Kristie Fiegen,2025-01-06,Chairperson,
Public Utilities Commission,http://puc.sd.gov/,605-773-3201,PUC@state.sd.us,Public Utilities Commission,http://puc.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/SDPUC%20Gary%20Hanson%202014.jpg,"Gary Hanson currently serves as vice chairman of the South Dakota Public Utilities Commission. He was elected to the PUC in 2002 and re-elected in November 2008, November 2014 and November 2020. He served as the commission's chairman in 2005, 2008, 2011, 2013, 2014, 2019 and 2020. Gary represents South Dakota on the National Association of Regulatory Utility Commissioners' Committee on Electricity. He has been the president of the Mid-America Regulatory Conference, represented the nation's NARUC commissioners on the steering committee of the National Wind Coordinating Collaborative and is a member of the Advisory Council for New Mexico State University's Center for Public Utilities. He served on the board of the Organization of MISO States for 20 years, including stints as treasurer and on the executive committee.",,Gary Hanson,2027-01-04,Vice Chairman,
Public Utilities Commission,http://puc.sd.gov/,605-773-3201,PUC@state.sd.us,Public Utilities Commission,http://puc.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/2021ChrisNelson.jpg,"Chris Nelson was appointed Jan. 8, 2011, by Gov. Dennis Daugaard to fill a vacancy on the commission and was elected by South Dakota voters in November 2012 to continue his service for the remaining four years of the term. He was re-elected to a full term in November 2016, garnering the highest electoral percentage ever for a contested statewide race, and was again re-elected by a statewide vote in 2022. Chris served as the PUC's chairman in 2012, 2015, 2016 2021 and 2022 and as vice chairman in 2011, 2013, 2014, 2019 and 2020. He is a member of the National Association of Regulatory Utility Commissioners serving on its Board of Directors, co-chairing the Washington Action Program, is a member of its Investment Committee and is a past chairman of its Committee on Telecommunications. Chris represents South Dakota as a board member for the Organization of MISO States.",,Chris Nelson,2029-01-02,Commissioner,
"Lottery Commission, South Dakota",http://lottery.sd.gov/about/commission/,605-773-5869,Wade.LaRoche@state.sd.us,Department of Revenue,http://dor.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/Jason%20Ahrendt%20headshot.jpg,Commissioner Ahrendt has served in the Lottery Commission since 2018. He currently resides in Sioux Falls where he was born and raised. Commissioner Ahrendt has been employed with State Farm for 22 years and he is also a board member of the Sanford Health Foundation. He previously served as a board member for the Good Samaritan Society. Commissioner Ahrendt holds a bachelor's degree from the University of South Dakota,Sioux Falls,Jason Ahrendt,2025-01-01,Chair,Republican
"Lottery Commission, South Dakota",http://lottery.sd.gov/about/commission/,605-773-5869,Wade.LaRoche@state.sd.us,Department of Revenue,http://dor.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/Donohue.png,"Commissioner Donohue has served with the Lottery Commission since 2023. He is a lifelong resident of South Dakota who graduated from Augustana University in 1982 with a Bachelor of Arts in Business Administration. Commissioner Donohue has been employed at Williams Insurance agency since 1987 and employed by Sioux Falls Regional livestock since 2006. He has also served in the Augustana Athletic Booster Board and the O’Gorman High School Alumni Association. Commissioner Donohue has also volunteered for several organizations in Sioux Falls including the YMCA, EMBE, FCA, MAW, Forward Sioux Falls, Sioux Falls Catholic Schools, Broom Tree, Great LIFE CARES, and United Way.",Sioux Falls,Tim Donohue,2025-01-01,Commissioner,Republican
"Lottery Commission, South Dakota",http://lottery.sd.gov/about/commission/,605-773-5869,Wade.LaRoche@state.sd.us,Department of Revenue,http://dor.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/JULY%202017_HUIZENGA_HEADSHOT.jpg,"Commissioner Huizenga has served with the Lottery Commission since 2018. He has been a resident of Pierre for nearly 25 years where he also serves on the city commission. Commissioner Huizenga is also a member of the Pierre/Ft Pierre Rotary Club, Chair of Pierre/Ft Pierre Ambulance Committee and the Rawlins Library Board. Commissioner Huizenga is employed by Nagel Agency, Inc. as a crop and farm insurance agent. Commissioner Huizenga was born and raised in Platte. He holds a business administration degree from Northern State University and also served in the South Dakota National Guard",Pierre,Jamie Huizenga,2024-01-01,Vice Chair,Republican
"Lottery Commission, South Dakota",http://lottery.sd.gov/about/commission/,605-773-5869,Wade.LaRoche@state.sd.us,Department of Revenue,http://dor.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/FB_IMG_1592683836094.jpg,"Commissioner Kafka has served on the Lottery Commission since 2016. He currently resides in Valley Springs after living in Pierre for 27 years. Commissioner Kafka previously served as press secretary for governors Rounds and Daugaard. He also aided Gov. Daugaard with appointments to state boards and commissions. Prior to joining state government, Commissioner Kafka enjoyed a 39-year career in journalism. This included work with the Associated Press in both Pierre and Washington D.C. He covered 22 legislative sessions in South Dakota.",Sioux Falls,Joe Kafka,2026-01-01,Commissioner,Independant
"Lottery Commission, South Dakota",http://lottery.sd.gov/about/commission/,605-773-5869,Wade.LaRoche@state.sd.us,Department of Revenue,http://dor.sd.gov/,https://boardsandcommissions.sd.gov/bcuploads/152Tona%20Rozum_PR.jpg,Commissioner Rozum has served in the Lottery Commission since 2021. She is a lifelong resident of Mitchell. Commissioner Rozum is a graduate of Dakota Wesleyan University. She has been a financial advisor since 1991. She has also worked in Main Street retail business and as a teacher. Commissioner Rozum previously served four 2-year terms in the South Dakota legislature as a representative.,Mitchell,Tona Rozum,2027-01-01,Commissioner,Republican
"Athletic Commission, South Dakota",http://dlr.sd.gov/athleticcommission,605-224-1721,SDAC@midwestsolutionssd.com,Department of Labor and Regulation,http://dlr.sd.gov/,,,Sioux Falls,George Giovanis,2024-06-30,Commissioner,Republican
"Athletic Commission, South Dakota",http://dlr.sd.gov/athleticcommission,605-224-1721,SDAC@midwestsolutionssd.com,Department of Labor and Regulation,http://dlr.sd.gov/,,,Sioux Falls,Mark Johnston,2026-06-30,Secretary,Republican
"Athletic Commission, South Dakota",http://dlr.sd.gov/athleticcommission,605-224-1721,SDAC@midwestsolutionssd.com,Department of Labor and Regulation,http://dlr.sd.gov/,,,Spearfish,Michael Kilmer,,Chairman,Independant
"Athletic Commission, South Dakota",http://dlr.sd.gov/athleticcommission,605-224-1721,SDAC@midwestsolutionssd.com,Department of Labor and Regulation,http://dlr.sd.gov/,,,Sioux Falls,Kaleb Paulsen,2026-06-30,Commissioner,Independant
"Athletic Commission, South Dakota",http://dlr.sd.gov/athleticcommission,605-224-1721,SDAC@midwestsolutionssd.com,Department of Labor and Regulation,http://dlr.sd.gov/,,,Sioux Falls,Verle Valentine,2025-06-30,Vice-chairman,Republican
State Conservation Commission,https://sdda.sd.gov/conservation-forestry/conservation/conservation-commission/responsibilities/,605-773-3626,Kim.Paxton@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Spearfish,Bill Coburn,2025-12-31,Tree Industry,Republican
State Conservation Commission,https://sdda.sd.gov/conservation-forestry/conservation/conservation-commission/responsibilities/,605-773-3626,Kim.Paxton@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Burke,Tom Glover,2023-12-31,Water Development District,Democrat
State Conservation Commission,https://sdda.sd.gov/conservation-forestry/conservation/conservation-commission/responsibilities/,605-773-3626,Kim.Paxton@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Mitchell,Bruce Haines,2025-01-01,Area 2 farmer,Republican
State Conservation Commission,https://sdda.sd.gov/conservation-forestry/conservation/conservation-commission/responsibilities/,605-773-3626,Kim.Paxton@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Webster,Doug Hansen,2025-12-31,At Large,Independant
State Conservation Commission,https://sdda.sd.gov/conservation-forestry/conservation/conservation-commission/responsibilities/,605-773-3626,Kim.Paxton@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,,White Lake,Michael Konechne,2023-12-31,"At Large, Farmer",Republican
State Conservation Commission,https://sdda.sd.gov/conservation-forestry/conservation/conservation-commission/responsibilities/,605-773-3626,Kim.Paxton@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Rosebud,Charles Moe,2025-12-31,Tree Industry,Independant
State Conservation Commission,https://sdda.sd.gov/conservation-forestry/conservation/conservation-commission/responsibilities/,605-773-3626,Kim.Paxton@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Ree Heights,Dean Odden,2025-01-01,Area 1 Farmer,Republican
State Conservation Commission,https://sdda.sd.gov/conservation-forestry/conservation/conservation-commission/responsibilities/,605-773-3626,Kim.Paxton@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Watertown,Dusty Rodiek,2025-12-31,Municipal League Representative,Republican
State Conservation Commission,https://sdda.sd.gov/conservation-forestry/conservation/conservation-commission/responsibilities/,605-773-3626,Kim.Paxton@state.sd.us,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Interior,Gene Williams,2023-12-31,Area 3,Democrat
"Podiatry Examiners, State Board of",https://doh.sd.gov/licensing-and-records/boards/podiatry/,605-642-1600,office@sdlicensing.com,Department of Health,http://doh.sd.gov/,,,Sturgis,Jeanie Blair,2024-10-30,Public member,
"Podiatry Examiners, State Board of",https://doh.sd.gov/licensing-and-records/boards/podiatry/,605-642-1600,office@sdlicensing.com,Department of Health,http://doh.sd.gov/,,,Aberdeen,"James Johnston, Vice President",2023-10-31,Podiatrist,
"Podiatry Examiners, State Board of",https://doh.sd.gov/licensing-and-records/boards/podiatry/,605-642-1600,office@sdlicensing.com,Department of Health,http://doh.sd.gov/,,,St. Onge,Carolyn Stansberry,2022-10-31,Podiatrist,
"Podiatry Examiners, State Board of",https://doh.sd.gov/licensing-and-records/boards/podiatry/,605-642-1600,office@sdlicensing.com,Department of Health,http://doh.sd.gov/,,,Watertown,"Scott Torness, President",2024-10-30,Podiatrist,
Trust Administration Review and Reform Task Force,http://dlr.sd.gov/banking/trust_task_force.aspx,605-773-3421,banking@state.sd.us,,http://dlr.sd.gov/,,,Rapid City,Frances Becker,2025-03-31,,
Trust Administration Review and Reform Task Force,http://dlr.sd.gov/banking/trust_task_force.aspx,605-773-3421,banking@state.sd.us,,http://dlr.sd.gov/,,,Sioux Falls,Jennifer Bunkers,2025-03-31,Chair,
Trust Administration Review and Reform Task Force,http://dlr.sd.gov/banking/trust_task_force.aspx,605-773-3421,banking@state.sd.us,,http://dlr.sd.gov/,,,Sioux Falls,Anne Feiock,2025-03-31,,
Trust Administration Review and Reform Task Force,http://dlr.sd.gov/banking/trust_task_force.aspx,605-773-3421,banking@state.sd.us,,http://dlr.sd.gov/,,,Rapid City,Patrick Goetzinger,2025-03-31,,
Trust Administration Review and Reform Task Force,http://dlr.sd.gov/banking/trust_task_force.aspx,605-773-3421,banking@state.sd.us,,http://dlr.sd.gov/,,,Sioux Falls,Bradley Grossenburg,2025-03-31,,
Trust Administration Review and Reform Task Force,http://dlr.sd.gov/banking/trust_task_force.aspx,605-773-3421,banking@state.sd.us,,http://dlr.sd.gov/,,,Sioux Falls,Dixie Hieb,2025-03-31,,
Trust Administration Review and Reform Task Force,http://dlr.sd.gov/banking/trust_task_force.aspx,605-773-3421,banking@state.sd.us,,http://dlr.sd.gov/,,,Sioux Falls,Peter Randazzo,2025-03-31,,
Trust Administration Review and Reform Task Force,http://dlr.sd.gov/banking/trust_task_force.aspx,605-773-3421,banking@state.sd.us,,http://dlr.sd.gov/,,,Dell Rapids,Jim Riswold,2025-03-31,,
Trust Administration Review and Reform Task Force,http://dlr.sd.gov/banking/trust_task_force.aspx,605-773-3421,banking@state.sd.us,,http://dlr.sd.gov/,,,Sioux Falls,Carl Schmidtman,2025-03-31,,
Trust Administration Review and Reform Task Force,http://dlr.sd.gov/banking/trust_task_force.aspx,605-773-3421,banking@state.sd.us,,http://dlr.sd.gov/,,,Vermillion,Thomas Simmons,2025-03-31,,
Trust Administration Review and Reform Task Force,http://dlr.sd.gov/banking/trust_task_force.aspx,605-773-3421,banking@state.sd.us,,http://dlr.sd.gov/,,,Sioux Falls,Mark Sivertson,2025-03-31,,
"Investment Council, South Dakota",http://sdic.sd.gov/,,,State Treasurer,http://www.sdtreasurer.gov/,,,Pierre,Travis Almond,,Executive Director South Dakota Retirement System,
"Investment Council, South Dakota",http://sdic.sd.gov/,,,State Treasurer,http://www.sdtreasurer.gov/,,,Sturgis,Paul Bisson,2022-06-30,Chair,
"Investment Council, South Dakota",http://sdic.sd.gov/,,,State Treasurer,http://www.sdtreasurer.gov/,,,Pierre,Josh Haeder,,State Treasurer,
"Investment Council, South Dakota",http://sdic.sd.gov/,,,State Treasurer,http://www.sdtreasurer.gov/,,,Sioux Falls,Mary Howard,2024-06-30,,
"Investment Council, South Dakota",http://sdic.sd.gov/,,,State Treasurer,http://www.sdtreasurer.gov/,,,Pierre,Jarrod Johnson,,School & Public Lands Commissioner,
"Investment Council, South Dakota",http://sdic.sd.gov/,,,State Treasurer,http://www.sdtreasurer.gov/,,,Sioux Falls,Loren Koepsell,2025-06-30,,
"Investment Council, South Dakota",http://sdic.sd.gov/,,,State Treasurer,http://www.sdtreasurer.gov/,,,Sioux Falls,Greg Kulesa,2023-06-30,Vice Chair,
"Investment Council, South Dakota",http://sdic.sd.gov/,,,State Treasurer,http://www.sdtreasurer.gov/,,,Yankton,Steve Pietila,2026-06-30,,
State Fair Commission,http://www.sdstatefair.com/general-info/about,605-661-8710,danderson@firstdakota.com,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Yankton,Dusty Anderson,,At large,Republican
State Fair Commission,http://www.sdstatefair.com/general-info/about,605-661-8710,danderson@firstdakota.com,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Sioux Falls,Jo Beal,,4-H,Republican
State Fair Commission,http://www.sdstatefair.com/general-info/about,605-661-8710,danderson@firstdakota.com,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Pierre,Justin Bell,,At Large,Republican
State Fair Commission,http://www.sdstatefair.com/general-info/about,605-661-8710,danderson@firstdakota.com,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Huron,Scott Cordts,,Vendor,Republican
State Fair Commission,http://www.sdstatefair.com/general-info/about,605-661-8710,danderson@firstdakota.com,Department of Ag and Natural Resources,https://danr.sd.gov/,,None,Huron,Sherman Gose,,Beadle County,Republican
State Fair Commission,http://www.sdstatefair.com/general-info/about,605-661-8710,danderson@firstdakota.com,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Dimock,Denise Muntefering,,Exhibitor,Republican
State Fair Commission,http://www.sdstatefair.com/general-info/about,605-661-8710,danderson@firstdakota.com,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Bath,Gerald Sharp,,At Large,Democrat
State Fair Commission,http://www.sdstatefair.com/general-info/about,605-661-8710,danderson@firstdakota.com,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Brookings,Amanda Stade,,Employee of SDSU,NPA
State Fair Commission,http://www.sdstatefair.com/general-info/about,605-661-8710,danderson@firstdakota.com,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Sioux Falls,Faron Wahl,,"Chairman, At large",Republican
State Fair Commission,http://www.sdstatefair.com/general-info/about,605-661-8710,danderson@firstdakota.com,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Huron,Jamie White,,"Vice-Chair, City of Huron",Republican
State Fair Commission,http://www.sdstatefair.com/general-info/about,605-661-8710,danderson@firstdakota.com,Department of Ag and Natural Resources,https://danr.sd.gov/,,,Gann Valley,Erin Yost,,At Large,Republican
"Psychologists Examiners, Board of",https://dss.sd.gov/licensingboards/psych/psych.aspx,605-642-1600 ,proflic@rushmore.com,Department of Social Services,https://dss.sd.gov/licensingboards/psych/psych.aspx,,,Bath,Rosalie Ball,2023-10-30,Psychologist Ph.D.,
"Psychologists Examiners, Board of",https://dss.sd.gov/licensingboards/psych/psych.aspx,605-642-1600 ,proflic@rushmore.com,Department of Social Services,https://dss.sd.gov/licensingboards/psych/psych.aspx,,,Mitchell,Dr. Matthew Christiansen,2022-10-30,Psychologist Ph.D.,
"Psychologists Examiners, Board of",https://dss.sd.gov/licensingboards/psych/psych.aspx,605-642-1600 ,proflic@rushmore.com,Department of Social Services,https://dss.sd.gov/licensingboards/psych/psych.aspx,,,Sioux Falls,Dr. Jeffrey Ellison,2024-10-30,Psychologist Ph.D.,
"Psychologists Examiners, Board of",https://dss.sd.gov/licensingboards/psych/psych.aspx,605-642-1600 ,proflic@rushmore.com,Department of Social Services,https://dss.sd.gov/licensingboards/psych/psych.aspx,,,Rapid City,Dr. Trisha Miller,2022-10-30,Psychologist Ph.D.,
"Psychologists Examiners, Board of",https://dss.sd.gov/licensingboards/psych/psych.aspx,605-642-1600 ,proflic@rushmore.com,Department of Social Services,https://dss.sd.gov/licensingboards/psych/psych.aspx,,,Rapid City,Robert Overturf,2023-10-30,Lay Member,
"Psychologists Examiners, Board of",https://dss.sd.gov/licensingboards/psych/psych.aspx,605-642-1600 ,proflic@rushmore.com,Department of Social Services,https://dss.sd.gov/licensingboards/psych/psych.aspx,,,Sioux Falls,Brian Roegiers,2023-10-30,Lay Member,
"Psychologists Examiners, Board of",https://dss.sd.gov/licensingboards/psych/psych.aspx,605-642-1600 ,proflic@rushmore.com,Department of Social Services,https://dss.sd.gov/licensingboards/psych/psych.aspx,,,Yankton,Dr. Thomas Stanage,2023-10-30,Psychologist Ph.D.,
Aeronautics Commission of South Dakota,http://www.sddot.com/dot/commissions/aeronautics/Default.aspx,605-773-5105,Jack.Dokken@state.sd.us,Department of Transportation,http://wdot.sd.gov,http://boardsandcommissions.sd.gov/bcuploads/ChrisFunk.jpg,"Appointed 2010. Christopher ""Chris"" Funk was born in Minneapolis, MN. He obtained Airframe / Power plant license with Inspection authorization, private, commercial, and flight instructor certificate while owning / operating Madison Aircraft LLC. Chris has worked for South Dakota State University Aviation Education since November 2011. He currently owns and flies a Beechcraft Bonanza and a 1946 Piper J3 Cub.",Madison,Christopher Funk,2024-10-30,Pilot,
Aeronautics Commission of South Dakota,http://www.sddot.com/dot/commissions/aeronautics/Default.aspx,605-773-5105,Jack.Dokken@state.sd.us,Department of Transportation,http://wdot.sd.gov,https://boardsandcommissions.sd.gov/bcuploads/Bob%20Huggins.jpg,"Appointed 2017. Robert ""Bob"" Huggins was born in Rapid City. He graduated from the University of North Dakota in 1979 with a degree in Aviation Management. At UND, he earned his Private Pilot License. Bob's been a controller in Fargo, Rapid City, Huron and Sioux Falls Regional Airport. He was a controller at FSD in the 80s, and returned as a supervisor in March 2005 and was named the Air Traffic Manager (ATM) in November of 2005. While ATM, some of the highlights included helping Raven establish their facility north of FSD Airport, helping develop instrument procedures for Avera/McKennon and Sanford Hospitals Helipads, and overseeing the development of procedures for allowing drone operations at airports along with the map program that is used by drone operators. FSD procedures were so ground breaking that he went to FAA Headquarters in Washington, DC to assist in developing procedures for controllers and pilots. After 35+ years, he retired.",Sioux Falls,Robert Huggins,2026-10-30,,
