board_name,agency_affiliation,name,position,city,term_end,party,picture_url,bio,board_website,board_phone,board_email,agency_website
"Addiction and Prevention Professionals, Board of",Department of Social Services,Kelsey Smith,Lay Member,Sturgis,2025-10-30,,,,https://dss.sd.gov/licensingboards/bapp/bapp.aspx,605-224-1721,bapp@midwestsolutionssd.com,https://dss.sd.gov/licensingboards/bapp/bapp.aspx
"Addiction and Prevention Professionals, Board of",Department of Social Services,Kristi Jacobsma,Licensed Counselor,Sioux Falls,2025-10-30,,,,https://dss.sd.gov/licensingboards/bapp/bapp.aspx,605-224-1721,bapp@midwestsolutionssd.com,https://dss.sd.gov/licensingboards/bapp/bapp.aspx
"Addiction and Prevention Professionals, Board of",Department of Social Services,Tiffany Kashas,"Licensed Counselor, Certified Prevention Specialist",Vermillion,2027-10-31,,,,https://dss.sd.gov/licensingboards/bapp/bapp.aspx,605-224-1721,bapp@midwestsolutionssd.com,https://dss.sd.gov/licensingboards/bapp/bapp.aspx
Aeronautics Commission of South Dakota,Department of Transportation,Christopher Funk,Pilot,Madison,2027-10-30,,http://boardsandcommissions.sd.gov/bcuploads/ChrisFunk.jpg,"Appointed 2010. Christopher ""Chris"" Funk was born in Minneapolis, MN. He obtained Airframe / Power plant license with Inspection authorization, private, commercial, and flight instructor certificate while owning / operating Madison Aircraft LLC. Chris worked for South Dakota State University Aviation Education since November 2011 and retired in 2024. He currently owns and flies a Beechcraft Bonanza and a 1946 Piper J3 Cub.",http://www.sddot.com/dot/commissions/aeronautics/Default.aspx,605-773-5105,Jack.Dokken@state.sd.us,http://wdot.sd.gov
Aeronautics Commission of South Dakota,Department of Transportation,Dustin Coleman,Pilot,Rapid City,2027-10-30,,https://boardsandcommissions.sd.gov/bcuploads/Dustin%20Coleman%20Headshot.jpg,"Appointed 2024. Dustin Coleman was born and raised in Wisconsin and moved to Rapid City, SD, in 2021. He holds a B.S. in Engineering Technology from the University of Wisconsin and is a pilot with a commercial license for single and multiengine land airplanes and an instrument rating. Dustin founded Cole-TAC LLC, a manufacturing company specializing in precision shooting and hunting gear. He actively uses his aviation skills to support and expand his business and has served on the Guardian Long-Range Competition board from 2020–22, an organization benefiting foster children. He currently flies a Cessna T310R and an American Champion Citaria and enjoys long-range shooting, hunting, and spending time with his wife and four children in the Black Hills.",http://www.sddot.com/dot/commissions/aeronautics/Default.aspx,605-773-5105,Jack.Dokken@state.sd.us,http://wdot.sd.gov
Aeronautics Commission of South Dakota,Department of Transportation,Gerald Rieber,Pilot,Watertown,2025-10-30,,https://boardsandcommissions.sd.gov/bcuploads/Rieber%20photo.PNG,"Appointed 2020. Dr. Gerald “Jerry” Rieber was raised in Sabin, MN. He enlisted in the US Air Force after graduating from high school and was stationed at Offutt AFB, NE, Osan AFB, South Korea, and Goodfellow AFB, TX. He graduated from Moorhead State University in 1993, then graduated University of Minnesota Medical School in 1997 before his Orthopaedic Surgery residency. He and his wife Tammy moved to Watertown, SD to begin his Orthopaedic practice at Glacial Lakes Orthopaedics in 2002. Jerry began flying while in the Air Force. He completed his private pilot certificate in 2016 through Lake Area Technical Institute. He obtained his instrument rating in 2019 and is working towards his commercial rating and multi engine endorsements. He currently owns and flies a Cessna T210M and a Cessna 150L. Jerry and his wife have 3 grown children. In his free time, he enjoys working on projects in his shop, snowmobiling, motorcycling, and spending time at the lake or in the Black Hills.",http://www.sddot.com/dot/commissions/aeronautics/Default.aspx,605-773-5105,Jack.Dokken@state.sd.us,http://wdot.sd.gov
Aeronautics Commission of South Dakota,Department of Transportation,John Taylor,Pilot,Sioux Falls,2026-10-30,,https://boardsandcommissions.sd.gov/bcuploads/J%20Taylor%202023.jpg,"John Taylor grew up in Sioux Falls, SD. He holds a B.A. in Economics (St. Olaf College, 2001) and a Juris Doctorate (University of South Dakota, 2006). After passing the South Dakota bar exam, John served as an active duty US Army Aviation Officer and CH-47 Chinook pilot from 2006-2014. He was stationed in Alabama, Alaska, and Kansas, and served two overseas combat tours (Pakistan, 2010; Afghanistan 2013-14). John left active duty in 2014 to open a law practice in Sioux Falls. He is a board member of the Sioux Falls Regional Airport Authority and licensed by the FAA as a CFI-I flight instructor, ATP helicopter pilot, and Airframe and Powerplant mechanic. John flies (and maintains) a small twin-engine Cessna airplane. Additionally, John is a member of the Lawyer-Pilot’s Bar Association and an AOPA Pilot Protection Services panel attorney. In his free time John enjoys spending time with his wife and three children, tinkering with airplanes, and most anything involving the outdoors.",http://www.sddot.com/dot/commissions/aeronautics/Default.aspx,605-773-5105,Jack.Dokken@state.sd.us,http://wdot.sd.gov
Aeronautics Commission of South Dakota,Department of Transportation,Kassidy Nelson,Pilot,Elkton,2025-10-30,,https://boardsandcommissions.sd.gov/bcuploads/Kassidy%201.JPG,"Appointed 2018. Kassidy Nelson grew up in Elkton, SD. He joined the US Army in 2009 after receiving a BS degree in Aviation Education from SDSU. He was assigned to the 1-6 Cavalry Regiment at Fort Riley, KS. He served as an air mission commander & unit trainer during Operation Enduring Freedom in Afghanistan from 2013-14. After receiving an honorable discharge from active US Army service, he returned home to continue his service as a North Dakota guardsman flying the UH-72 & has been flying the rural communities as fixed-wing and helicopter pilot for Avera Careflight. He’s continued his involvement in the SDSU Aviation program by sharing his experiences & insights & has been an SDSU aviation advisory board member since 2010. Kassidy’s professional aeronautical certifications include: Airline Transport Pilot, Commercial Pilot Privileges, and Certified Flight Instructor.",http://www.sddot.com/dot/commissions/aeronautics/Default.aspx,605-773-5105,Jack.Dokken@state.sd.us,http://wdot.sd.gov
Aeronautics Commission of South Dakota,Department of Transportation,Robert Huggins,,Sioux Falls,2026-10-30,,https://boardsandcommissions.sd.gov/bcuploads/Bob%20Huggins.jpg,"Appointed 2017. Robert ""Bob"" Huggins was born in Rapid City. He graduated from the University of North Dakota in 1979 with a degree in Aviation Management. At UND, he earned his Private Pilot License. Bob's been a controller in Fargo, Rapid City, Huron and Sioux Falls Regional Airport. He was a controller at FSD in the 80s, and returned as a supervisor in March 2005 and was named the Air Traffic Manager (ATM) in November of 2005. While ATM, some of the highlights included helping Raven establish their facility north of FSD Airport, helping develop instrument procedures for Avera/McKennon and Sanford Hospitals Helipads, and overseeing the development of procedures for allowing drone operations at airports along with the map program that is used by drone operators. FSD procedures were so ground breaking that he went to FAA Headquarters in Washington, DC to assist in developing procedures for controllers and pilots. After 35+ years, he retired.",http://www.sddot.com/dot/commissions/aeronautics/Default.aspx,605-773-5105,Jack.Dokken@state.sd.us,http://wdot.sd.gov
Aeronautics Commission of South Dakota,Department of Transportation,Rolf Johnson,Pilot,Mina,2027-10-30,,https://boardsandcommissions.sd.gov/bcuploads/Rolf%20photo.PNG,"Appointed 2018. Rolf Johnson was born and raised in Aberdeen, SD. He graduated from Aberdeen Central High School. He has two associate degrees, automotive technology and automotive marketing, as well as bachelor’s degrees in management and marketing from Northwood University in Midland, MI. In the early 80's, Rolf obtained his private pilot license that allowed him to either piloted or co-piloted trips for family business purposes. Since 2000, he has held various board seats on the Aberdeen Airport Advisory Board where he is currently Vice Chair. In 2010, Rolf co-founded the Brown County Flying Club. In the three years to follow, he recruited 10 new pilots to join the club. Rolf has piloted at least a dozen aircraft and has flown to most of South Dakota’s airports along with 100 plus airports nationwide. Rolf lives with his wife Valerie at Mina Lake, 12 miles west of Aberdeen. He has three grown children. His hobbies outside of flying include running, cars, and motorcycles.",http://www.sddot.com/dot/commissions/aeronautics/Default.aspx,605-773-5105,Jack.Dokken@state.sd.us,http://wdot.sd.gov
America 250th South Dakota Commission,Department of Education,Benjamin Jones,Chair,Pierre,2027-03-31,,https://boardsandcommissions.sd.gov/bcuploads/JonesBen.jpg,"Jones was born in Sioux Falls and graduated from DeSmet High School in South Dakota. He earned a BA in history from South Dakota State University, an MA from the University of Nebraska-Lincoln, and a PhD from the University of Kansas. He served 23 years in the United States Air Force, where he attained the rank of lieutenant colonel and was stationed in several locations in the United States, the Pacific, Europe, and Afghanistan. He was a member of the History faculty at the Air Force Academy. Jones was dean of the College of Arts and Sciences at Dakota State University from 2013 to 2019 until Governor Noem appointed him Secretary of Education. Jones led the development of the department's 2019 strategic plan, which prioritized closing the opportunity gap for students in poverty and improving academic performance. Jones is now the State Historian and 9th Director of the South Dakota State Historical Society. He is married to Suzy and they have three children, Hannah, Elaina, and Henry",https://history.sd.gov/America250/default.aspx,,,
America 250th South Dakota Commission,Department of Education,Caleb Finck,,,2027-03-31,,https://boardsandcommissions.sd.gov/bcuploads/Finck%20.jpg,"Caleb Finck is a 6th Generation Farmer and Rancher from Tripp, South Dakota with his Wife, Toni, Mother, Father, Sister, and Grandparents. Finck volunteers on the Tripp Economic Development Corporation Board as President, the Tripp Area Community Foundation and Tripp Action Group. Caleb also serves on the board of Directors for the Economic Development Professionals Association of South Dakota, Dakota Resources, and Rushmore Music Camp. Caleb graduated from SDSU with a bachelor’s degree in Agricultural Leadership after serving two terms as Student Body President. Finck served 2 terms in the South Dakota House of Representatives from 2018-2022. Currently, Caleb works for the South Dakota Office of School and Public Lands as the Analytics Architect and GIS General Manager.",https://history.sd.gov/America250/default.aspx,,,
America 250th South Dakota Commission,Department of Education,Calvin Bloemendaal,,Pierre,,,https://boardsandcommissions.sd.gov/bcuploads/calvinbloemendaal_april2019.jpg,"Calvin Bloemendaal, Cultural Heritage Tourism Manager and Industry Outreach and Development Representative, has been working for Travel South Dakota since 2019. His role is focused on being a liaison to industry partners in the eastern half of South Dakota. While also being dedicated to initiatives like the South Dakota Native Tourism Alliance. In addition to industry relations and tourism capacity building, Calvin focuses on research for Travel South Dakota.",https://history.sd.gov/America250/default.aspx,,,
America 250th South Dakota Commission,Department of Education,Catherine K. Forsch,,Sioux Falls/Pierre,2027-03-31,,https://boardsandcommissions.sd.gov/bcuploads/1675298396893.jpg,"Catherine Forsch is the CEO of the South Dakota Historical Society Foundation. She has been a member of the staff since 2016 and is the chief/lead strategic creator of ideas for fundraising and programs to carry out the mission of the organization of “Helping to Keep South Dakota History Alive.” In the nonprofit world, Forsch served as Enterprise Director of Donor Relations for Sanford Health Foundation, Executive Director for South Dakota Lions Foundation, and Director of Development and Marketing at EmBe/YWCA. She is past president of the South Dakota Association for Fundraising Professionals and served many years as a cabinet member for the Sioux Empire United Way. Forsch has a B.A. degree in Journalism and Mass Communications from South Dakota State University. She has 20 years of marketing experience, twelve of those years with the Argus Leader in Sioux Falls. Catherine and her family are also seasonal concessionaires of The Boat House Bar & Grill at Spring Creek in Pierre",https://history.sd.gov/America250/default.aspx,,,
America 250th South Dakota Commission,Department of Education,David Flute,,,2027-03-31,,https://boardsandcommissions.sd.gov/bcuploads/secretary-photo.jpg,"Secretary Dave Flute is an enrolled member of the Sisseton Wahpeton Sioux Tribe. Prior to becoming Secretary of the South Dakota Department of Tribal Relations, he was the Chairman for the Sisseton Wahpeton Oyate and also previously served as the Lake Traverse Councilman. A military veteran, Secretary Flute served this country in Afghanistan between 2006 and 2009. He believes that the Dakota values are similar to military values; Duty, Honor, Respect, Selfless Service, Honesty, and Bravery. He graduated from North Dakota State University with two social science degrees and was a member of the American Honor Society, Phi Alpha Theta.",https://history.sd.gov/America250/default.aspx,,,
America 250th South Dakota Commission,Department of Education,David Grabitske,,Pierre,2027-03-31,,https://boardsandcommissions.sd.gov/bcuploads/GrabitskeDavid10.jpg,"A native of Minnesota, David grew up during the National Bicentennial in Maryland. His degrees are a bachelor’s in history (Minnesota State University--Mankato), master of public and nonprofit administration (Metropolitan State), and doctor of business administration (Metropolitan State) in finance of state history organizations, of which South Dakota State Historical Society is the third he’s served in over 30 years. He’s served on previous boards and commissions like the Minnesota State Historic Records Advisory Board, Minnesota Department of Transportation Sign Variance Board, and the Medina County (Texas) Historical Commission. He has also served national boards of American Association for State and Local History and Field Services Alliance. David is the author of numerous books and articles including Six Miles from St. Paul, currently the only book biography of a Minnesota First Lady, and co-author of Building Museums: a handbook for small and midsize organizations. He holds dual roles of Assistant Director and Museum Director of the South Dakota State Historical Society where he has crisscrossed the state to work with community history organizations and local history projects. He resides in Pierre with his wife and children.",https://history.sd.gov/America250/default.aspx,,,
America 250th South Dakota Commission,Department of Education,Douglas Knust,,Chamberlain,2027-03-31,,https://boardsandcommissions.sd.gov/bcuploads/Knust.jpg,"Doug Knust is a small businessman with NAPA Auto Parts stores in Gregory, Winner and Mission, SD as well as a management company and a real estate company. Knust was a franchised automobile dealer for over 30 years. He served on the National Automobile Dealers Association board of directors for over 11 years and the South Dakota Automobile Dealers Association for over 15 years. He currently serves on the board of St. Joseph’s Indian School in Chamberlain and the Boys & Girls Club of Rosebud. Knust has mentored middle school young men for over 20 years, taught religious education for over 35 years and is the author of two books. Knust holds a B.S.B.A. degree from Creighton University. He and his wife, Judy, live in Chamberlain and have three grown children, two granddaughters and two grandsons. He loves to hunt, golf, sail and bicycle and is a life-long college basketball fan.",https://history.sd.gov/America250/default.aspx,,,
America 250th South Dakota Commission,Department of Education,George Seamon,,Pierre,2027-03-31,,https://boardsandcommissions.sd.gov/bcuploads/Seamonc.jpg,"George Seamon currently serves as State Librarian for the South Dakota State Library. Prior to his current position, he served as Director/Consultant of Northwest Kansas Library System for 14 years as well as interlibrary loan and circulation clerk at Pennsylvania Western University Clarion (formerly Clarion University of Pennsylvania) for a year. He has an undergraduate degree in history from Kent State University and a Master of Science in Library Science from Pennsylvania Western University Clarion. George has extensive experience working with and participating on various types of boards, non-profit and governmental administration, and event planning/programming. George is originally for Ohio and currently resides in Pierre, South Dakota.",https://history.sd.gov/America250/default.aspx,,,
America 250th South Dakota Commission,Department of Education,Greg Whitlock,,,2027-03-31,,https://boardsandcommissions.sd.gov/bcuploads/Whitlock%205.jpg," Greg Whitlock was appointed Secretary of the South Dakota Department of Veterans Affairs by Governor Noem in January 2019. Prior to his appointment, Whitlock served as the Military and Veterans Service Representative for Congresswoman Noem from 2015 to 2018. Greg graduated from Selby High School. He received an Associate Degree through SDSU and Colorado Technical University in Business Management. Greg enlisted in the South Dakota National Guard in 1975 and joined the 153rd Engineers in Huron SD. He then started his fulltime career with 2nd Battalion 147th Field Artillery in 1985. He was promoted to Master Sergeant with the 196th Maneuver Enhanced Brigade in Sioux Falls. He retired from military service in 2015 with over 39 years of total service. Secretary Whitlock and his wife Michelle have four children and four grandsons.",https://history.sd.gov/America250/default.aspx,,,
America 250th South Dakota Commission,Department of Education,James Hagen,,,2027-03-31,,https://boardsandcommissions.sd.gov/bcuploads/jim_hagen.jpg,"Jim has served as South Dakota’s Secretary of Tourism since 2011. Before becoming the Secretary of Tourism, Jim served four and a half years as the National Fundraising Campaign Director and Public Relations Director for the Crazy Horse Memorial Foundation. From 2004-2006, he served as South Dakota’s Secretary of Tourism and State Development. From 1995-2002, he served as Chief of Staff and Special Advisor to Governor Bill Janklow. In March 2014, Jim was appointed to the 32-member National Travel and Tourism Advisory Board (TTAB) by U.S. Secretary of Commerce Penny Pritzker and again reappointed for a two-term in March 2016. He also serves on the Executive Board of the U.S. Travel Association and chairs the Membership Governance Committee. In January 2017, he was elected Chairman of the National Council of State Tourism Directors. Jim grew up in the northeast region of The Mount Rushmore State. He is a graduate of Aberdeen Central High School and the University of Southern California",https://history.sd.gov/America250/default.aspx,,,
America 250th South Dakota Commission,Department of Education,Julie Breu,,,2027-03-31,,https://boardsandcommissions.sd.gov/bcuploads/Julie%20Photos.jpg,"Julie Breu is the director of the Lake County Museum, formerly the Smith Zimmermann Museum, in Madison, South Dakota. She holds a Bachelor of Arts in History with a minor in Art History and has completed a Master’s degree from Eastern Illinois University in Historical Administration. She has worked in several southeast South Dakota museums for over twenty years. During her past year as director of the Lake County Museum the board and she has worked to rebrand and renew the image of the museum. Julie now lives in Wentworth, SD with her husband Kent and two children Mitchell and Ainsley.",https://history.sd.gov/America250/default.aspx,,,
America 250th South Dakota Commission,Department of Education,Kurt Hackemer,,Vermillion,2027-03-31,,https://boardsandcommissions.sd.gov/bcuploads/Hackemer%20Head%20Shot.jpg,"Kurt Hackemer is Professor of History and Provost and Vice President for Academic Affairs at the University of South Dakota in Vermillion, where he has been on the faculty since 1996. He teaches a wide range of American and non-American military history courses, and has published on both naval and military topics over the years. His most recent research focuses on the experience of Civil War veterans who moved to the Northern Great Plains after the war.",https://history.sd.gov/America250/default.aspx,,,
America 250th South Dakota Commission,Department of Education,Marshall Michels,,,2027-03-31,,https://boardsandcommissions.sd.gov/bcuploads/Michels.png,"Marshall served in the Army and South Dakota Army National Guard for almost 38 years. He has held numerous leadership positions within the South Dakota National Guard, culminating as Director of the Joint Staff where he was responsible for planning, coordinating, and executing South Dakota National Guard Response to state emergencies such as the COVID-19 pandemic response. Marshall retired from the military in 2020 at the rank of Brigadier General. Marshall joined the Department of the Military in 2021, serving as the Assistant Deputy Secretary.",https://history.sd.gov/America250/default.aspx,,,
America 250th South Dakota Commission,Department of Education,Nick Harrington,,Pierre,2027-03-31,,https://boardsandcommissions.sd.gov/bcuploads/GFP_Headshots_2023-2.jpg,"Nick is the Communications Manager for the South Dakota Game, Fish and Parks (GFP) in Pierre. Nick is originally from Gretna, Nebraska and attended South Dakota State University, where he obtained a bachelor’s degree in Wildlife and Fisheries Sciences. Nick moved to Pierre in September 2018, and has been working with GFP since then. Nick is a graduate of Cohort 15 of the Governor’s Leadership Development Program. His family continues to reside in Nebraska, including his three adopted siblings: Erin, Aiden, and Malachi.",https://history.sd.gov/America250/default.aspx,,,
America 250th South Dakota Commission,Department of Education,Peggy Besch,,Huron,2027-03-31,,https://boardsandcommissions.sd.gov/bcuploads/Besch%20March%202022%20crop%20small.jpg,"Peggy Besch serves as the State Fair Division Direction for the South Dakota Department of Agriculture and Natural Resources, a position she has held for the past eight years. Prior to that, she spent 23 years with the Huron Chamber and Visitors Bureau and served the last 14 years as their President and CEO. She is a Past President and founding member of the SD Convention & Visitors Bureau and Past President of the SD Chamber & Economic Development Council. She also served on the Board of Directors for the South Dakota Visitor Industry Alliance, Glacial Lakes and Prairies Regional Tourism Association, Laura Ingalls Wilder Memorial Society and Mid-America Chamber Executives. She currently serves on the Board of Directors for both Greater Huron Development Corporation and the Jan Manolis Family Safe Center and is a member of the Huron Kiwanis Club. Peggy lives in Huron, SD.",https://history.sd.gov/America250/default.aspx,,,
America 250th South Dakota Commission,Department of Education,Shane Penfield,,Lemmon,2027-03-31,,https://boardsandcommissions.sd.gov/bcuploads/Penfield.jpg,"Shane Penfield grew up on a ranch located ten miles south of Thunder Hawk, South Dakota. He graduated from Lemmon High School in 1994 and began attending the University of South Dakota the next fall. Shane received a Bachelor’s Degree in Political Science, Masters of Public Administration and Juris Doctorate all from USD. In 2004, Shane began practicing law at the Rapid City law firm of Gunderson, Palmer, Goodsell and Nelson, LLP. In 2007, Shane and his wife Kelli moved to Lemmon, to start a law practice where they continue to live with their four children. Mr. Penfield currently serves as the State’s Attorney of Perkins, Ziebach, Corson and Dewey Counties. He is also the City Attorney for Lemmon, McIntosh, Bison, Faith, McLaughlin, Timber Lake and Dupree. In addition to these positions, Shane is engaged in his private law practice, a member of the Lemmon Fire Department and operates a ranch south of Lemmon on land that has been in his family for four generations.",https://history.sd.gov/America250/default.aspx,,,
America 250th South Dakota Commission,Department of Education,Tim Reed,Senator,Brookings,2027-03-31,,"https://boardsandcommissions.sd.gov/bcuploads/RT%20Reed,%20Tim-4448.jpg","Tim Reed, a Brookings, SD native is currently serving as District 7’s Senator to the South Dakota Legislature. Before his election to the Legislature seven years ago, he served in Brookings City Government for 13 years, 8 years as Mayor. Reed is also serving as the CEO of the Brookings Economic Development Corporation.",https://history.sd.gov/America250/default.aspx,,,
America 250th South Dakota Commission,Department of Education,Tyler Tordsen,House Representative,Sioux Falls,2027-03-31,,https://boardsandcommissions.sd.gov/bcuploads/Tordsen.jpg,"Tyler Tordsen is the President & CEO of Sioux Metro Growth Alliance, South Dakota’s largest regional non-profit economic development organization. Before taking his new role with SMGA, Tyler spent eight years serving in the Office of U.S. Senator Mike Rounds as the Southeast Regional Director and State Director of Tribal Affairs. He is a lifelong South Dakotan who was born in Sioux Falls, grew up in Rapid City and is an enrolled member of the Sisseton-Wahpeton Sioux Tribe. He has a Bachelors of Science in political science and economics from the University of South Dakota. Tyler was elected to the South Dakota House of Representatives for District 14 and is a member of the House Education and House Judiciary Committees. In October 2023, Tyler was chosen as a “50 Under 50” of up-and-coming state legislators in the nation by the American Legislative Exchange Council. Tyler, his wife Erika, and their two sons Emmett and Atlas currently live in Sioux Falls.",https://history.sd.gov/America250/default.aspx,,,
American Dairy Association of South Dakota,Department of Ag and Natural Resources,Dorothy Elliott,Producer,Lake Norden,2025-10-31,,,,https://sdda.sd.gov/boards-and-commissions/american-dairy-association-of-south-dakota-board/,605-826-4427,marvjoy@itctel.com,https://danr.sd.gov/
American Dairy Association of South Dakota,Department of Ag and Natural Resources,Douglas Ode,Producer,Brandon,2024-10-30,,,,https://sdda.sd.gov/boards-and-commissions/american-dairy-association-of-south-dakota-board/,605-826-4427,marvjoy@itctel.com,https://danr.sd.gov/
American Dairy Association of South Dakota,Department of Ag and Natural Resources,Evan Grong,Processor,Milbank,2024-10-30,,,Valley Queen Cheese,https://sdda.sd.gov/boards-and-commissions/american-dairy-association-of-south-dakota-board/,605-826-4427,marvjoy@itctel.com,https://danr.sd.gov/
American Dairy Association of South Dakota,Department of Ag and Natural Resources,Kim Maher,Producer,Lake Norden,2024-10-30,,,Agropur,https://sdda.sd.gov/boards-and-commissions/american-dairy-association-of-south-dakota-board/,605-826-4427,marvjoy@itctel.com,https://danr.sd.gov/
American Dairy Association of South Dakota,Department of Ag and Natural Resources,Londa Nwadike,Ex Officio,SDSU,,,,,https://sdda.sd.gov/boards-and-commissions/american-dairy-association-of-south-dakota-board/,605-826-4427,marvjoy@itctel.com,https://danr.sd.gov/
